"","tagFate","Release_TagID","Release_Date","Release_Season","Release_Area","Release_SubAreaCode","Release_Latitude","Release_Longitude","species3ACode","Release_Length","Release_Fate","Recapture_obs_foID","Recapture_tagID","Recapture_Date","Recapture_Latitude","Recapture_Longitude","Recapture_Area","Recapture_Length","Recapture_Weight","Recapture_SexCode","Recapture_MaturityStage","Recapture_GonadWeight","Distance_Traveled","taglink_score","opeID","Recapture_Season","Release_MU","Recapture_MU"
"1","Recaptured",NA,2008-05-09,2008,"SIOFA (non CCP)","Outside",-44.7,44.48333333,"TOP",64,"A","O11505",987,2021-12-07,-44.835,43.815,"SIOFA",70,3000,"M",NA,NA,54.9942664848763,4,"H53243",2022,"DC","DC"
"2","Recaptured",NA,2019-05-17,2019,"SIOFA (non CCP)","Outside",-44.5983333333333,44.3066666666667,"TOP",70,"C","O11530",989,2021-12-14,-44.2833,44.53,"SIOFA",76,3700,"M",NA,NA,39.26300511283,4,"H53268",2022,"DC","DC"
"3","Recaptured",312,2021-11-21,2021,"SIOFA","SIOFA",-44.74,45.4883,"TOP",NA,NA,"O14633",1914,2022-11-23,-44.7716,45.1083,"SIOFA",75,NA,"M",NA,NA,30.2929896975101,9,"H61839",2022,"DC","DC"
"4","Recaptured",NA,2019-06-12,2019,"SIOFA (non CCP)","Outside",-43.7066666666667,40.7416666666667,"TOP",55,"C","O17784",2135,2023-01-15,-43.7066,40.6866,"SIOFA",94,NA,"F",NA,NA,263.983083358227,9,"H68836",2023,"SIR","SIR"
"5","Recaptured",495,2021-12-16,2022,"SIOFA","SIOFA",-44.9833,44.91,"TOP",NA,NA,"O17814",2136,2023-02-04,-44.8883,44.97,"SIOFA",63,NA,"M",NA,NA,131.063779160362,9,"H68866",2023,"DC","DC"
"6","Recaptured",1964,2022-06-06,2022,"SIOFA","SIOFA",-44.946833,44.168333,"TOP",72.3,NA,"O17831",2137,2023-02-13,-44.9266,44.035,"SIOFA",72,NA,"F",NA,NA,106.062480381754,9,"H68883",2023,"DC","DC"
"7","Recaptured",1497,2022-11-29,2022,"SIOFA","SIOFA",-42.86,42.5866,"TOP",77,NA,"O17981",2138,2023-11-06,-42.6916,42.6383,"SIOFA",82,NA,"F",NA,NA,170.695243544057,9,"H69033",2023,"SIR","SIR"
"8","Recaptured",1498,2022-11-29,2022,"SIOFA","SIOFA",-42.86,42.5866,"TOP",68,NA,"O17988",2139,2023-11-10,-42.845,42.6,"SIOFA",72,NA,"M",NA,NA,170.695243544057,9,"H69040",2023,"SIR","SIR"
"9","Recaptured",501,2021-12-16,2022,"SIOFA","SIOFA",-44.9833,44.91,"TOP",NA,NA,"O18004",2142,2023-11-17,-44.755,44.2916,"SIOFA",66,NA,"M",NA,NA,131.063779160362,9,"H69056",2023,"DC","DC"
"10","Recaptured",1425,2022-11-22,2022,"SIOFA","SIOFA",-44.835,44.0983,"TOP",61,NA,"O20681",2148,2024-02-16,-44.6898333333333,44.6915,"SIOFA",60.3,NA,"F",NA,NA,93.1151985988933,9,"H77580",2024,"DC","DC"
"11","Recaptured",1399,2022-11-18,2022,"SIOFA","SIOFA",-44.6833,44.3383,"TOP",58,NA,"O20688",2149,2024-02-17,-44.7555,44.0828333333333,"SIOFA",58,NA,"M",NA,NA,80.5775917626951,9,"H77587",2024,"DC","DC"
"12","Recaptured",3096,2023-11-30,2023,"SIOFA","SIOFA",-44.9183333333333,43.0416666666667,"TOP",66,NA,"O21627",2164,2024-10-13,-44.2166,44.7733,"SIOFA",NA,NA,NA,NA,NA,NA,9,"H78526",2024,"DC","DC"
"13","Recaptured",1945,2022-06-05,2022,"SIOFA","SIOFA",-44.948833,44.859167,"TOP",77.4,NA,"O21654",2167,2024-10-25,-44.985,44.8116,"SIOFA",84,NA,"F",NA,NA,125.655077092923,9,"H78553",2024,"DC","DC"
"14","Recaptured",326,2021-11-24,2021,"SIOFA","SIOFA",-44.9416999999999,44.6917,"TOP",NA,NA,"O21667",2168,2024-10-29,-44.9883,44.6716,"SIOFA",74,NA,"M",NA,NA,118.233106034852,5,"H78566",2024,"DC","DC"
"15","Recaptured",2900,2023-11-06,2023,"SIOFA","SIOFA",-42.7466666666667,42.6283333333333,"TOP",71,NA,"O21709",2169,2024-11-18,-42.7483,42.6133,"SIOFA",76,NA,"M",NA,NA,NA,9,"H78608",2024,"SIR","SIR"
"16","Recaptured",2874,2023-11-03,2023,"SIOFA","SIOFA",-42.59,42.1983333333333,"TOP",66,NA,"O21713",2170,2024-11-20,-42.5266,42.2166,"SIOFA",78,NA,"F",NA,NA,NA,9,"H78612",2024,"SIR","SIR"
"17","Recaptured",419,2021-12-11,2022,"SIOFA","SIOFA",-44.9932999999999,44.825,"TOP",NA,NA,"O21720",2171,2024-11-25,-44.9833,44.8,"SIOFA",69,NA,"M",NA,NA,128.406119977443,9,"H78619",2024,"DC","DC"
