"","vesselCode","obs_foID","opeID","Subarea","Target","SettingStartDatetime","SettingStartLatitude","SettingStartLongitude","SettingStartDepth","species3ACode","speciesScientificName","speciesEnglishName","bsLength_cm","bsWeight_Kg","bsSex","src","datasetID","Season","MU"
"1",30,"O10548",NA,"3b","TOP",2020-02-22 11:55:00,-44.497,45.7523,1748,"TOP","Dissostichus eleginoides","Patagonian toothfish",116,16.9,"F","OBS",165,2020,"DC"
"2",30,"O10548",NA,"3b","TOP",2020-02-22 11:55:00,-44.497,45.7523,1748,"TOP","Dissostichus eleginoides","Patagonian toothfish",79,5.2,"M","OBS",165,2020,"DC"
"3",30,"O10548",NA,"3b","TOP",2020-02-22 11:55:00,-44.497,45.7523,1748,"TOP","Dissostichus eleginoides","Patagonian toothfish",106,13.5,"M","OBS",165,2020,"DC"
"4",30,"O10548",NA,"3b","TOP",2020-02-22 11:55:00,-44.497,45.7523,1748,"TOP","Dissostichus eleginoides","Patagonian toothfish",139,30,"F","OBS",165,2020,"DC"
"5",30,"O10548",NA,"3b","TOP",2020-02-22 11:55:00,-44.497,45.7523,1748,"TOP","Dissostichus eleginoides","Patagonian toothfish",61,2,"M","OBS",165,2020,"DC"
"6",30,"O10548",NA,"3b","TOP",2020-02-22 11:55:00,-44.497,45.7523,1748,"TOP","Dissostichus eleginoides","Patagonian toothfish",96,9.4,"F","OBS",165,2020,"DC"
"7",30,"O10548",NA,"3b","TOP",2020-02-22 11:55:00,-44.497,45.7523,1748,"TOP","Dissostichus eleginoides","Patagonian toothfish",97,9.8,"F","OBS",165,2020,"DC"
"8",30,"O10548",NA,"3b","TOP",2020-02-22 11:55:00,-44.497,45.7523,1748,"TOP","Dissostichus eleginoides","Patagonian toothfish",103,10.9,"M","OBS",165,2020,"DC"
"9",30,"O10548",NA,"3b","TOP",2020-02-22 11:55:00,-44.497,45.7523,1748,"TOP","Dissostichus eleginoides","Patagonian toothfish",95,9,"F","OBS",165,2020,"DC"
"10",30,"O10548",NA,"3b","TOP",2020-02-22 11:55:00,-44.497,45.7523,1748,"TOP","Dissostichus eleginoides","Patagonian toothfish",89,7,"M","OBS",165,2020,"DC"
"11",30,"O10548",NA,"3b","TOP",2020-02-22 11:55:00,-44.497,45.7523,1748,"TOP","Dissostichus eleginoides","Patagonian toothfish",86,5.9,"M","OBS",165,2020,"DC"
